gear,area_type,area_category,flag,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
L,HS,HS,KR,425,163,272,463,638,499,1186,559,353,962,565
L,HS,HS,MH,0,0,0,0,0,0,0,0,0,0,0
L,HS,HS,NC,1,2,4,2,14,10,0,0,0,0,0
L,HS,HS,NZ,0,0,0,0,0,0,0,0,0,0,0
L,HS,HS,PF,17,0,0,1,0,0,0,0,0,3,0
L,HS,HS,PG,0,0,0,33,139,0,0,0,0,0,9
L,HS,HS,PT,67,1,0,0,0,0,0,0,0,0,0
L,HS,HS,SB,0,778,1637,239,0,17,46,796,0,58,132
L,HS,HS,TO,0,1,0,0,1,0,0,0,0,0,0
L,HS,HS,TV,10,1,1,1,52,15,4,112,57,0,0
L,HS,HS,TW,10181,7545,7974,9670,13635,11498,11821,13537,5358,9503,9854
L,HS,HS,AS,177,125,126,144,28,15,28,29,49,45,128
L,HS,HS,VU,3987,3165,3911,2597,4072,4959,4105,3349,3461,1713,1912
L,HS,HS,WS,0,0,0,5,34,107,20,5,0,1,13
L,EEZ,KI,BZ,0,0,0,0,0,0,0,0,0,0,0
L,EEZ,KI,CN,216,308,1330,3020,166,4,170,1320,66,25,139
L,EEZ,KI,FJ,29,164,135,140,4,0,50,0,0,0,0
L,EEZ,KI,FM,0,0,0,1,1,0,0,0,0,0,1
L,EEZ,KI,JP,8,6,0,0,0,0,0,0,0,0,0
L,EEZ,KI,KI,3,1,54,406,207,57,971,1361,510,1572,1267
L,EEZ,KI,KR,187,351,612,416,11,9,38,6,3,13,0
L,EEZ,KI,TV,0,0,0,0,0,0,0,0,0,0,0
L,EEZ,KI,TW,351,235,192,213,2,3,34,12,12,41,105
L,EEZ,KI,VU,26,152,184,95,0,0,1,1,0,16,0
L,EEZ,NC,FJ,0,0,1,1,0,1,0,0,0,2,0
L,EEZ,NC,NC,0,0,1,0,1,0,2,1,32,16,5
L,EEZ,NC,VU,0,0,0,0,1,0,0,0,0,0,0
L,EEZ,NC,NC,1713,1628,1578,1745,1719,1742,2009,1896,1742,2142,2004
L,EEZ,NU,CK,85,33,0,0,0,362,386,163,19,0,0
L,EEZ,NU,FJ,277,146,187,86,14,0,0,0,0,0,0
L,EEZ,NU,NU,0,0,0,0,0,0,0,0,0,0,0
L,EEZ,NU,TW,0,18,3,0,0,2,0,0,0,1,1
L,EEZ,NZ,NZ,302,311,223,233,181,239,117,202,102,83,70
L,EEZ,PF,PF,3495,3744,3418,3276,2148,3058,3439,2812,2689,4182,5221
L,EEZ,PG,CN,1,3,0,101,0,559,578,603,239,1873,728
L,EEZ,PG,JP,0,0,105,998,1092,796,673,344,361,574,387
L,EEZ,PG,PG,234,305,336,14,488,92,39,18,0,260,44
L,EEZ,PG,TW,2,0,19,78,28,6,43,4,1,3,6
L,EEZ,SB,CK,18,79,0,0,0,0,0,0,0,0,0
L,EEZ,SB,CN,2902,239,0,1492,3324,3875,2930,1575,1039,2823,1297
L,EEZ,SB,FJ,1783,121,0,554,163,558,213,1,0,0,0
L,EEZ,SB,JP,563,55,106,0,0,1,0,0,0,1,0
L,EEZ,SB,KI,5,0,0,0,1,0,0,0,2,0,2
L,EEZ,SB,KR,96,57,34,2,40,11,16,2,3,48,18
L,EEZ,SB,SB,0,12713,6718,535,0,1901,2492,886,1865,2662,2266
L,EEZ,SB,TV,0,0,0,0,0,0,0,0,0,0,0
L,EEZ,SB,TW,2424,278,0,1166,2180,578,1,2,0,6,2
L,EEZ,SB,VU,1282,136,0,0,119,223,23,0,0,0,0
L,EEZ,TK,CK,0,0,125,78,82,152,531,351,237,612,0
L,EEZ,TK,CN,0,0,0,5,57,6,6,3,1,1,6
L,EEZ,TK,FJ,0,1,1,0,0,0,0,0,0,0,0
L,EEZ,TK,KI,0,5,140,91,204,0,0,0,0,0,0
L,EEZ,TK,TV,0,0,0,0,0,0,0,0,0,0,0
L,EEZ,TK,TW,0,0,0,286,142,0,0,3,1,53,109
L,EEZ,TK,VU,0,0,1605,1886,510,262,291,324,86,8,0
L,EEZ,TK,WS,0,0,0,119,702,212,1147,565,231,766,803
L,EEZ,TO,CN,155,107,61,1,7,13,0,0,0,2,0
L,EEZ,TO,FJ,123,1,2,1,0,131,608,329,543,403,667
L,EEZ,TO,TO,13,24,29,42,25,23,29,13,10,52,34
L,EEZ,TO,TW,1179,133,618,1067,767,676,714,499,344,446,908
L,EEZ,TV,CK,0,0,0,0,0,0,0,0,0,0,0
L,EEZ,TV,CN,3,129,148,271,477,153,212,271,163,176,80
L,EEZ,TV,FJ,192,139,62,662,383,140,804,277,14,203,39
L,EEZ,TV,JP,0,0,0,0,0,0,0,0,0,0,0
L,EEZ,TV,KI,0,0,0,0,0,0,0,0,0,0,0
L,EEZ,TV,KR,21,120,94,505,445,545,453,1,1,5,0
L,EEZ,TV,TV,159,77,95,51,123,106,60,5,0,0,0
L,EEZ,TV,TW,87,0,0,0,0,0,0,0,0,0,0
L,EEZ,TV,US,0,0,0,0,0,0,0,0,0,0,0
L,EEZ,TV,VU,1029,0,5,0,0,0,53,0,0,2,0
L,EEZ,VU,CK,0,0,0,0,0,0,0,0,0,0,0
L,EEZ,VU,CN,5028,4162,2085,5691,5645,4510,5632,3268,1075,4027,2405
L,EEZ,VU,FJ,1080,1223,464,705,2077,1070,527,478,485,772,339
L,EEZ,VU,SB,0,743,2894,921,0,0,0,0,0,0,0
L,EEZ,VU,TW,459,83,1,0,0,0,0,0,1,3,0
L,EEZ,VU,VU,246,77,0,0,152,110,8,0,0,51,0
L,EEZ,WS,WS,1642,800,840,823,1638,1364,1442,843,760,683,1113
